STATE,2016,2017,2018,2019
Andhra pradesh,3006,2898,2929,3114
Arunachal pradesh,58,41,56,54
ASSAM,1295,1464,1541,1690
BIHAR,1296,1152,1384,1421
GOA,113,118,104,107
GUJARAT,2141,2145,2171,1898
HARYANA,1845,1990,2088,1901
HIMACHAL PRADESH,478,528,470,487
JAMMU KASHMIR,403,409,400,384
JHARKHAND,1222,1250,1122,1554
KARNATAKA,4116,3792,3986,3842
KERALA,1263,1309,1248,1259
MADHYA PRADESH,2564,2521,2601,2904
MAHARASHTRA,3887,3637,4088,3799
MANIPUR,46,97,88,111
MEGHALAYA,108,111,73,89
MIZORAM,45,29,15,19
NAGALAND,35,27,12,18
ODISHA,1812,2123,1999,2000
PUNJAB,1495,1891,2085,1693
RAJASTHAN,3737,4066,3874,3870
SIKKIM,39,30,31,29
TAMIL NADU,6255,5892,4492,3956
TELANGANA,2173,1954,2064,2491
TRIPURA,68,70,77,106
UTTARAKHAND,503,584,631,428
UTTAR PRADESH,7469,7946,8818,8830
WEST BENGAL,2304,2135,2150,2002
ANDAMAN AND NICOBAR,7,7,8,7
CHANDIGARH,24,16,16,13
DADRA AND NAGAR HAVELI,0,0,0,0
DAMAN AND DIU,0,5,0,0
DELHI,238,267,263,278
LAKSHDWEEP,0,0,0,0
PUDUCHERRY,131,137,111,82
